program,p,n,seconds_min,jobid,file,samples,seconds_all
floyd_chk,1,60,0.00139,83322,floyd_chk_p1_n60_83322.out,3,0.001390;0.001420;0.001480
floyd_chk,4,60,0.0014,83320,floyd_chk_p4_n60_83320.out,4,0.001400;0.001460;0.001470;0.001920
floyd_chk,9,60,0.00387,83331,floyd_chk_p9_n60_83331.out,1,0.003870
floyd_chk,16,60,0.00347,83333,floyd_chk_p16_n60_83333.out,1,0.003470
floyd_chk,25,60,0.01398,83335,floyd_chk_p25_n60_83335.out,1,0.013980
floyd_chk,36,60,0.01236,83337,floyd_chk_p36_n60_83337.out,1,0.012360
floyd_chk,1,480,0.21187,83339,floyd_chk_p1_n480_83339.out,1,0.211870
floyd_chk,4,480,0.11466,83341,floyd_chk_p4_n480_83341.out,1,0.114660
floyd_chk,9,480,0.06305,83343,floyd_chk_p9_n480_83343.out,1,0.063050
floyd_chk,16,480,0.03966,83345,floyd_chk_p16_n480_83345.out,1,0.039660
floyd_chk,25,480,0.05593,83347,floyd_chk_p25_n480_83347.out,1,0.055930
floyd_chk,36,480,0.04295,83349,floyd_chk_p36_n480_83349.out,1,0.042950
floyd_chk,1,1500,6.236,83363,floyd_chk_p1_n1500_83363.out,1,6.236000
floyd_chk,4,1500,3.32594,83365,floyd_chk_p4_n1500_83365.out,1,3.325940
floyd_chk,9,1500,1.51627,83368,floyd_chk_p9_n1500_83368.out,1,1.516270
floyd_chk,16,1500,0.88021,83370,floyd_chk_p16_n1500_83370.out,1,0.880210
floyd_chk,25,1500,0.5859,83373,floyd_chk_p25_n1500_83373.out,1,0.585900
floyd_chk,36,1500,0.43658,83375,floyd_chk_p36_n1500_83375.out,1,0.436580
floyd_chk,1,3000,50.70207,83377,floyd_chk_p1_n3000_83377.out,1,50.702070
floyd_chk,4,3000,25.89213,83379,floyd_chk_p4_n3000_83379.out,1,25.892130
floyd_chk,9,3000,11.88083,83381,floyd_chk_p9_n3000_83381.out,1,11.880830
floyd_chk,16,3000,6.74133,83383,floyd_chk_p16_n3000_83383.out,1,6.741330
floyd_chk,25,3000,4.46252,83385,floyd_chk_p25_n3000_83385.out,1,4.462520
floyd_chk,36,3000,3.15096,83388,floyd_chk_p36_n3000_83388.out,1,3.150960
floyd_chk,1,4020,121.81785,83391,floyd_chk_p1_n4020_83391.out,1,121.817850
floyd_chk,4,4020,61.66578,83394,floyd_chk_p4_n4020_83394.out,1,61.665780
floyd_chk,9,4020,28.25899,83396,floyd_chk_p9_n4020_83396.out,1,28.258990
floyd_chk,16,4020,15.94461,83399,floyd_chk_p16_n4020_83399.out,1,15.944610
floyd_chk,25,4020,10.54178,83401,floyd_chk_p25_n4020_83401.out,1,10.541780
floyd_chk,36,4020,7.62859,83403,floyd_chk_p36_n4020_83403.out,1,7.628590
floyd_chk,1,6000,408.28304,83405,floyd_chk_p1_n6000_83405.out,1,408.283040
floyd_chk,4,6000,198.61552,83411,floyd_chk_p4_n6000_83411.out,1,198.615520
floyd_chk,9,6000,94.19417,83413,floyd_chk_p9_n6000_83413.out,1,94.194170
floyd_chk,16,6000,53.19644,83416,floyd_chk_p16_n6000_83416.out,1,53.196440
floyd_chk,25,6000,34.68093,83418,floyd_chk_p25_n6000_83418.out,1,34.680930
floyd_chk,36,6000,24.17099,83420,floyd_chk_p36_n6000_83420.out,1,24.170990
floyd_row,1,60,0.00026,83317,floyd_row_p1_n60_83317.out,3,0.000260;0.000290;0.000440
floyd_row,4,60,0.00146,83319,floyd_row_p4_n60_83319.out,4,0.001460;0.001590;0.001640;0.001820
floyd_row,9,60,0.01335,83330,floyd_row_p9_n60_83330.out,2,0.013350;0.013650
floyd_row,16,60,0.00678,83332,floyd_row_p16_n60_83332.out,1,0.006780
floyd_row,25,60,0.02577,83334,floyd_row_p25_n60_83334.out,1,0.025770
floyd_row,36,60,0.0073,83336,floyd_row_p36_n60_83336.out,1,0.007300
floyd_row,1,480,0.07567,83338,floyd_row_p1_n480_83338.out,1,0.075670
floyd_row,4,480,0.04223,83340,floyd_row_p4_n480_83340.out,1,0.042230
floyd_row,9,480,0.03641,83342,floyd_row_p9_n480_83342.out,1,0.036410
floyd_row,16,480,0.03474,83344,floyd_row_p16_n480_83344.out,1,0.034740
floyd_row,25,480,0.03838,83346,floyd_row_p25_n480_83346.out,1,0.038380
floyd_row,36,480,0.03065,83348,floyd_row_p36_n480_83348.out,1,0.030650
floyd_row,1,1500,2.1495,83362,floyd_row_p1_n1500_83362.out,1,2.149500
floyd_row,4,1500,1.15942,83364,floyd_row_p4_n1500_83364.out,1,1.159420
floyd_row,9,1500,0.5324,83367,floyd_row_p9_n1500_83367.out,1,0.532400
floyd_row,16,1500,0.3309,83369,floyd_row_p16_n1500_83369.out,1,0.330900
floyd_row,25,1500,0.23193,83372,floyd_row_p25_n1500_83372.out,1,0.231930
floyd_row,36,1500,0.2011,83374,floyd_row_p36_n1500_83374.out,1,0.201100
floyd_row,1,3000,19.21296,83376,floyd_row_p1_n3000_83376.out,1,19.212960
floyd_row,4,3000,9.01522,83378,floyd_row_p4_n3000_83378.out,1,9.015220
floyd_row,9,3000,4.15392,83380,floyd_row_p9_n3000_83380.out,1,4.153920
floyd_row,16,3000,2.36839,83382,floyd_row_p16_n3000_83382.out,1,2.368390
floyd_row,25,3000,1.58209,83384,floyd_row_p25_n3000_83384.out,1,1.582090
floyd_row,36,3000,1.17874,83387,floyd_row_p36_n3000_83387.out,1,1.178740
floyd_row,1,4020,48.15026,83390,floyd_row_p1_n4020_83390.out,1,48.150260
floyd_row,4,4020,21.68275,83393,floyd_row_p4_n4020_83393.out,1,21.682750
floyd_row,9,4020,9.80075,83395,floyd_row_p9_n4020_83395.out,1,9.800750
floyd_row,16,4020,5.59235,83397,floyd_row_p16_n4020_83397.out,1,5.592350
floyd_row,25,4020,3.67603,83400,floyd_row_p25_n4020_83400.out,1,3.676030
floyd_row,36,4020,2.66014,83402,floyd_row_p36_n4020_83402.out,1,2.660140
floyd_row,1,6000,162.2114,83404,floyd_row_p1_n6000_83404.out,1,162.211400
floyd_row,4,6000,73.16524,83409,floyd_row_p4_n6000_83409.out,1,73.165240
floyd_row,9,6000,32.83237,83412,floyd_row_p9_n6000_83412.out,1,32.832370
floyd_row,16,6000,18.63448,83414,floyd_row_p16_n6000_83414.out,1,18.634480
floyd_row,25,6000,12.34006,83417,floyd_row_p25_n6000_83417.out,1,12.340060
floyd_row,36,6000,8.76369,83419,floyd_row_p36_n6000_83419.out,1,8.763690
